"","Total.N","NO3.N","NH4.N","Ca","Mg","K","P","Fe","Mn","Cu","Zn","B","S","Pb","Al","Cd","burial_date","retrieval_date","plot","location"
"24",5.62,5.42,0.2,1701.77,291.23,37.96,1.54,1.75,0.42,0.05,0.38,0.61,15.35,0,15.64,0.02,2023-04-12,2023-05-03,2462,"BL"
"25",20.26,19.84,0.42,1180.85,180.71,32.21,0.99,1.71,0.25,0.04,2.62,0.2,11.16,0.07,7.27,0.02,2023-04-12,2023-05-03,2401,"UR"
"26",43.02,42.52,0.5,2038.43,277.25,35.9,2.82,2.59,0.44,0.15,0.92,1.25,28.05,0.12,21.36,0.05,2023-04-12,2023-05-03,2401,"BR"
"27",18.76,18.04,0.72,1743.59,249.14,39.6,3.64,2.03,0.36,0.08,0.7,0.37,16.28,0,12.73,0.03,2023-04-12,2023-05-03,2401,"UL"
"28",23.74,23.32,0.42,1837.33,250.35,21.15,1.46,1.99,0.26,0.07,1.74,0.46,16.7,0.04,12.11,0.01,2023-04-12,2023-05-03,2401,"BL"
"29",7.06,6.76,0.3,1638.16,243,36.65,4.41,1.53,0.38,0.06,0.97,0.4,15.5,0.06,12.01,0.02,2023-04-12,2023-05-03,2458,"UR"
"30",38.16,38.08,0.08,1626.29,237.33,37.98,10,4.91,3.4,0.22,0.54,0.86,47.37,0.25,15.57,0.03,2023-04-12,2023-05-03,2458,"BR"
"31",13.38,12.82,0.56,2007.31,283.41,21.61,10.74,1.74,0.45,0.06,0.3,0.48,22.31,0.05,15.51,0.02,2023-04-12,2023-05-03,2458,"UL"
"32",18.94,18.72,0.22,1784.59,260.15,27.43,3.23,2.04,0.67,0.1,0.29,0.5,16.81,0.04,13.3,0.01,2023-04-12,2023-05-03,2458,"BL"
"33",9.46,9.06,0.4,1493.38,199.04,47.89,3.04,1.89,0.44,0.04,0.54,0.67,13.8,0.09,14.76,0.01,2023-04-12,2023-05-03,2405,"UR"
"34",10.62,8.88,1.74,1637.92,219.67,37.68,2.41,1.89,0.33,0.06,0.82,0.77,15.1,0.02,16.66,0.02,2023-04-12,2023-05-03,2405,"BR"
"35",10.84,10.36,0.48,1464.56,193.98,32.67,2.22,1.88,0.38,0.06,1.4,0.35,14.27,0,10.28,0.01,2023-04-12,2023-05-03,2405,"UL"
"36",12.84,12.7,0.14,1570.9,207.99,34,2.09,1.73,0.31,0.06,0.82,0.42,14.22,0.07,13.03,0.02,2023-04-12,2023-05-03,2405,"BL"
"37",26,25.24,0.76,1671.2,209.72,25.66,2.59,1.77,0.47,0.09,0.73,0.47,15.71,0.04,11.98,0.03,2023-04-12,2023-05-03,2459,"UR"
"38",30.94,30.46,0.48,1865.14,245.15,47.77,2.39,1.76,0.41,0.07,0.63,0.33,17.77,0.01,10.65,0.03,2023-04-12,2023-05-03,2459,"BR"
"39",11.24,10.48,0.76,1457.45,193.36,42.29,2.41,1.85,0.38,0.06,0.86,0.6,13.69,0.08,14.95,0.02,2023-04-12,2023-05-03,2459,"UL"
"40",19.96,19.18,0.78,1639.16,230.69,53.63,2.23,1.74,0.5,0.07,0.9,0.83,15.68,0,17.23,0.02,2023-04-12,2023-05-03,2459,"BL"
"41",11.86,11.32,0.54,1720.33,223.57,34.45,3.36,1.92,0.82,0.1,0.49,0.85,16.5,0,16.85,0.02,2023-04-12,2023-05-03,11,"BR"
"42",8.64,7.46,1.18,1326.56,184.79,30.36,1.64,1.91,0.33,0.06,0.83,0.82,12.18,0.07,15.59,0.02,2023-04-12,2023-05-03,11,"UR"
"43",8.9,8.04,0.86,1376.52,188.66,31.86,1.93,1.4,0.43,0.04,0.72,0.41,13.54,0.02,12.18,0.02,2023-04-12,2023-05-03,11,"UL"
"44",10.84,10.32,0.52,1258.98,171.13,33.44,2.34,1.48,0.41,0.05,0.8,0.5,15.24,0.03,11.68,0.05,2023-04-12,2023-05-03,11,"BL"
"45",21.26,19.94,1.32,1338.83,189.6,33.25,2,1.55,0.34,0.06,0.5,0.5,13.56,0.09,11.67,0.04,2023-04-12,2023-05-03,12,"UR"
"46",26.28,25.22,1.06,1422.87,205.29,36.28,1.87,1.53,0.36,0.05,0.53,0.71,13.93,0,13.48,0.02,2023-04-12,2023-05-03,12,"BR"
"47",7.92,6.7,1.22,1194.19,165.99,26.43,1.11,1.73,0.29,0.05,0.94,0.63,11.26,0.04,12.98,0.01,2023-04-12,2023-05-03,12,"UL"
"48",11.22,10.08,1.14,990.73,142.42,36.08,1.88,1.22,0.31,0.03,0.69,0.31,10.49,0,8.88,0,2023-04-12,2023-05-03,12,"BL"
"49",8.26,6.82,1.44,1725.92,234.04,35.16,1.73,1.84,0.41,0.08,0.79,0.67,16.1,0,17.51,0.02,2023-04-12,2023-05-03,13,"UR"
"50",12.32,11.02,1.3,1426.5,196.57,43.4,1.95,1.46,0.36,0.05,0.75,0.45,13.45,0,11.46,0.02,2023-04-12,2023-05-03,13,"BR"
"51",12.36,10.96,1.4,1708.65,224.6,33.43,2.17,2.23,0.42,0.06,0.53,1.08,16.58,0,19.65,0.02,2023-04-12,2023-05-03,13,"UL"
"52",7.8,6.28,1.52,1420.47,202.64,39.45,1.78,2.2,0.48,0.06,0.85,0.42,13.47,0.06,9.87,0.03,2023-04-12,2023-05-03,13,"BL"
"53",10.84,7.78,3.06,1490.58,222.53,59.86,2.24,2.26,0.52,0.08,0.33,0.74,13.44,0,19.17,0.03,2023-04-12,2023-05-03,14,"UR"
"54",14.56,12.3,2.26,1513.48,225.23,49.35,2.59,2.15,0.36,0.07,0.77,0.41,16.35,0,12.05,0.04,2023-04-12,2023-05-03,14,"BR"
"55",12.16,11.06,1.1,1481.3,206.43,39.02,2.53,1.93,0.36,0.07,0.6,0.55,14.44,0,14.73,0.03,2023-04-12,2023-05-03,14,"UL"
"56",10.14,7.64,2.5,1588.71,234.26,36.92,1.69,2.45,0.55,0.1,0.99,0.83,14.81,0,15.37,0.04,2023-04-12,2023-05-03,14,"BL"
"57",23.48,22.7,0.78,1817.37,264.56,24.29,7.44,2.68,0.42,0.13,0.9,0.48,17.49,0,13.74,0.06,2023-04-12,2023-05-03,15,"UR"
"58",7.74,6.24,1.5,1483.01,219.13,42.92,1.56,3.08,0.44,0.08,1.43,0.26,14.56,0,7.88,0.04,2023-04-12,2023-05-03,15,"BR"
"59",17.28,16.14,1.14,1329.15,195.34,38.28,3.16,1.54,0.36,0.09,0.6,0.23,12.9,0,7.78,0.03,2023-04-12,2023-05-03,15,"UL"
"60",8.94,7.62,1.32,1819.72,268.43,51.55,2.96,2.4,0.46,0.15,1.24,0.92,16.23,0.02,17.97,0.05,2023-04-12,2023-05-03,15,"BL"
