"plot","march","april","may","june","july","august","september"
11,4,4,4,3,2,2,2
12,2,3,3,3,3,3,3
13,4,4,4,3,2,2,2
14,3,3,3,3,3,3,3
15,3,3,3,3,2,2,2
2401,3,3,3,2,1,1,1
2402,4,4,4,3,3,3,3
2403,3,3,3,2,1,1,1
2404,3,3,3,2,2,2,2
2405,4,4,4,3,NA,NA,NA
2458,3,3,3,3,3,3,3
2459,3,3,3,2,2,2,2
2460,3,3,3,2,2,2,2
2461,3,3,3,2,1,1,1
2462,4,4,4,3,2,2,2
