,plot,id,species,height_cm,date
85,2405,NA,SAAP,16.1,3/9/2023
86,2405,NA,ENCA,42.2,3/9/2023
87,2405,28,SAME,51.6,3/9/2023
88,2405,NA,ENCA,12.5,3/9/2023
89,2405,NA,ERFA,18.1,3/9/2023
90,2405,NA,ENCA,45.5,3/9/2023
91,2405,NA,ERFA,28.3,3/9/2023
92,2405,NA,SALE,10.9,3/9/2023
93,2405,NA,ERFA,31.7,3/9/2023
94,2459,43,HEAR,12,3/9/2023
95,2459,41,RHIL,8.4,3/9/2023
96,2459,57,RHOV,14.7,3/9/2023
97,2459,44,HEAR,13,3/9/2023
98,2459,42,MALA,26.1,3/9/2023
99,2459,40,MALA,38.6,3/9/2023
100,2459,NA,MALA,43.5,3/9/2023
101,2459,39,ADFA,28.5,3/9/2023
102,2459,NA,RHOL,30.3,3/9/2023
103,2459,32,ADFA,34.9,3/9/2023
104,2459,16,ADFA,37.4,3/9/2023
105,2459,7,RHOV,23.9,3/9/2023
106,2459,30,MALA,66.5,3/9/2023
107,2459,2,RHOV,36.4,3/9/2023
108,2459,15,MALA,34.2,4/12/2023
109,11,NA,SALE,32,3/9/2023
110,11,NA,ENCA,34.3,3/9/2023
111,11,NA,SALE,40.9,3/9/2023
112,11,NA,SAAP,29.2,3/9/2023
113,11,NA,ERFA,26.6,3/9/2023
114,11,NA,SAAP,22.3,3/9/2023
115,11,NA,SAME,56.9,3/9/2023
116,11,NA,ENCA,81.4,3/9/2023
117,11,NA,SAAP,46,3/9/2023
118,11,NA,SALE,33.2,3/9/2023
119,11,NA,SAME,50.4,3/9/2023
120,11,NA,ARCA,41.5,3/9/2023
121,11,NA,SALE,48.2,3/9/2023
122,11,NA,ENCA,91.8,3/9/2023
123,11,10,ERFA,31.1,3/9/2023
124,11,NA,SALE,35.9,3/9/2023
125,13,52,SALE,15.8,3/9/2023
126,13,60,SAME,18.8,3/9/2023
127,13,67,ARCA,28.5,3/9/2023
128,13,NA,SALE,30.4,3/9/2023
129,13,46,SAAP,18.2,3/9/2023
130,13,42,ARCA,14.7,3/9/2023
131,13,40,ENCA,53.3,3/9/2023
132,13,NA,SAME,21.2,3/9/2023
133,13,34,ARCA,44.4,3/9/2023
134,13,35,SAAP,19.7,3/9/2023
135,13,NA,SALE,43.4,3/9/2023
136,13,12,SALE,56.4,3/9/2023
137,13,22,ENCA,74,3/9/2023
138,13,23,CECU,42.3,3/9/2023
139,13,27,ARCA,31.8,3/9/2023
140,13,NA,ENCA,25.2,3/9/2023
141,13,NA,CECU,34.2,3/9/2023
142,13,NA,ARCA,55.9,3/9/2023
143,13,18,ENCA,45,3/9/2023
144,13,16,ARCA,60.5,3/9/2023
145,13,NA,SAME,29.2,3/9/2023
146,13,14,SAAP,13.8,3/9/2023
147,13,12,ARCA,38.4,3/9/2023
148,13,NA,SALE,32.3,3/9/2023
149,13,NA,SAAP,18.8,3/9/2023
150,2401,NA,ARCA,41.4,3/9/2023
151,2401,2,SAAP,13.3,3/9/2023
