"","plot","par","date"
"1",2404,0.942891859052248,2022-07-15
"2",2405,0.966435801811401,2022-08-05
"3",2405,0.96430474160895,2022-08-05
"4",2405,0.943826179120297,2022-08-05
"5",2459,1.02084539664157,2022-08-05
"6",2458,0.957283680175246,2022-08-05
"7",2459,0.974860335195531,2022-08-05
"8",2405,0.924668435013263,2022-08-05
"9",2462,0.990883190883191,2022-08-05
"10",2462,0.965,2022-08-05
"11",13,1.22066057624736,2022-07-15
"12",2458,0.985193621867882,2022-08-05
"13",2461,0.995927865037813,2022-06-09
"14",2460,0.977051061388411,2022-04-05
"15",2460,0.96921322690992,2022-04-05
"16",2401,0.998238402818555,2022-04-05
"17",12,0.992986557568673,2022-04-05
"18",2460,0.974712643678161,2022-04-05
"19",12,0.973563218390805,2022-04-05
"20",11,0.974108170310702,2022-04-05
"21",11,0.966304968589378,2022-04-05
"22",12,0.992375366568915,2022-04-05
"23",2459,0.97185525560023,2022-06-09
"24",2405,0.934290447266704,2022-08-05
"25",15,0.987726475745178,2022-04-05
"26",2404,0.977996525767226,2022-05-06
"27",13,0.967316513761468,2022-04-05
"28",2459,0.978538283062645,2022-07-15
"29",13,0.986541837331773,2022-04-05
"30",2401,0.973988439306358,2022-06-09
"31",2401,0.991176470588235,2022-07-15
"32",13,0.967260195290063,2022-04-05
"33",2404,0.974537037037037,2022-05-06
"34",2461,0.984795321637427,2022-05-06
"35",12,0.970028818443804,2022-04-05
"36",2401,0.975652173913043,2022-08-05
"37",13,0.969452449567723,2022-04-05
"38",15,0.969452449567723,2022-04-05
"39",2401,0.990571596935769,2022-04-05
"40",2402,0.969417195614541,2022-05-06
"41",2403,0.974463145676146,2022-04-05
"42",2461,0.985907222548444,2022-05-06
"43",2403,0.974448315911731,2022-04-05
"44",2461,0.985898942420682,2022-04-05
"45",2460,0.96824480369515,2022-04-05
"46",2460,0.982425307557118,2022-04-05
"47",13,0.951219512195122,2022-06-09
"48",2458,0.961538461538462,2022-04-05
"49",2401,0.978375219170076,2022-04-05
"50",11,0.97723292469352,2022-04-05
"51",2462,0.97212543554007,2022-07-15
"52",2405,0.960390355912744,2022-04-05
