plot,id,species,dead,start_date,end_date
2461,1,sale,0,1/21/2022,4/29/2022
2461,2,sale,0,1/21/2022,4/29/2022
2461,3,sale,0,1/21/2022,4/29/2022
2461,4,sale,0,1/21/2022,4/29/2022
2461,5,sale,0,1/21/2022,4/29/2022
2461,6,sale,0,1/21/2022,4/29/2022
2461,7,sale,0,1/21/2022,4/29/2022
2461,8,sale,0,1/21/2022,4/29/2022
2461,9,sale,0,1/21/2022,4/29/2022
2461,10,sale,1,1/21/2022,4/29/2022
2461,11,saap,0,1/21/2022,4/29/2022
2461,12,saap,0,1/21/2022,4/29/2022
2461,13,saap,0,1/21/2022,4/29/2022
2461,14,saap,0,1/21/2022,4/29/2022
2461,15,saap,0,1/21/2022,4/29/2022
2461,16,saap,0,1/21/2022,4/29/2022
2461,17,saap,0,1/21/2022,4/29/2022
2461,18,saap,0,1/21/2022,4/29/2022
2461,19,saap,0,1/21/2022,4/29/2022
2461,20,saap,0,1/21/2022,4/29/2022
2461,21,arca,0,1/21/2022,4/29/2022
2461,22,arca,0,1/21/2022,4/29/2022
2461,23,arca,0,1/21/2022,4/29/2022
2461,24,arca,0,1/21/2022,4/29/2022
2461,25,arca,0,1/21/2022,4/29/2022
2461,26,arca,0,1/21/2022,4/29/2022
2461,27,arca,0,1/21/2022,4/29/2022
2461,28,arca,0,1/21/2022,4/29/2022
2461,29,arca,0,1/21/2022,4/29/2022
2461,30,arca,0,1/21/2022,4/29/2022
2461,31,erfa,0,1/21/2022,4/29/2022
2461,32,erfa,0,1/21/2022,4/29/2022
2461,33,erfa,0,1/21/2022,4/29/2022
2461,34,erfa,0,1/21/2022,4/29/2022
2461,35,erfa,1,1/21/2022,4/29/2022
2461,36,erfa,1,1/21/2022,4/29/2022
2461,37,erfa,1,1/21/2022,4/29/2022
2461,38,same,0,1/21/2022,4/29/2022
2461,39,same,0,1/21/2022,4/29/2022
2461,40,same,0,1/21/2022,4/29/2022
2461,41,same,0,1/21/2022,4/29/2022
2461,42,same,0,1/21/2022,4/29/2022
2461,43,same,0,1/21/2022,4/29/2022
2461,44,same,1,1/21/2022,4/29/2022
2461,45,enca,0,1/21/2022,4/29/2022
2461,46,enca,0,1/21/2022,4/29/2022
2461,47,enca,0,1/21/2022,4/29/2022
2461,48,enca,0,1/21/2022,4/29/2022
2461,49,enca,0,1/21/2022,4/29/2022
2461,50,enca,0,1/21/2022,4/29/2022
2461,51,enca,0,1/21/2022,4/29/2022
2461,52,enca,0,1/21/2022,4/29/2022
