Plot,ID,Species,Height,Date,Resprout,Row #,Notes,,
2405,70,ENCA,40.3,3/9/2023,,Row 1,,,
2405,n/a,SAME,27.4,3/9/2023,,,,,
2405,58?,ENCA,37.5,3/9/2023,,,,,
2405,n/a,SALE,36.2,3/9/2023,,,,,
2405,38?,SALE,42.9,3/9/2023,,,,,
2405,50,SAME,48.2,3/9/2023,,,,,
2405,n/a,SAAP,16.1,3/9/2023,,,,,
2405,n/a,ENCA,42.2,3/9/2023,,Row 2,,,
2405,28,SAME,51.6,3/9/2023,,,,,
2405,n/a,ENCA,12.5,3/9/2023,,Row 3,,,
2405,n/a,ERFA,18.1,3/9/2023,,,,,
2405,n/a,ENCA,45.5,3/9/2023,,,,,
2405,n/a,ERFA,28.3,3/9/2023,,,,,
2405,n/a,SALE,10.9,3/9/2023,x,,,,
2405,n/a,ERFA,31.7,3/9/2023,,,,,
2459,43,HEAR,12,3/9/2023,,Row 1,,,
2459,41,RHIL,8.4,3/9/2023,,,,,
2459,57,RHOV,14.7,3/9/2023,,,,,
2459,44,HEAR,13,3/9/2023,x,Row 2,,,
2459,42,MALA,26.1,3/9/2023,,,,,
2459,40,MALA,38.6,3/9/2023,,,,,
2459,n/a,MALA,43.5,3/9/2023,,,,,
2459,39,ADFA,28.5,3/9/2023,,,,,
2459,n/a,RHOL,30.3,3/9/2023,,,,,
2459,32,ADFA,34.9,3/9/2023,,,,,
2459,16,ADFA,37.4,3/9/2023,,Row 3,,,
2459,7,RHOV,23.9,3/9/2023,,,,,
2459,30,MALA,66.5,3/9/2023,,,,,
2459,2,RHOV,36.4,3/9/2023,,,,,
2459,15,MALA,34.2,4/12/2023,,,"found on 4/12, previously unmeasured",,
11,n/a,SALE,32,3/9/2023,,Row 1,,,
11,n/a,ENCA,34.3,3/9/2023,,,,,
11,n/a,SALE,40.9,3/9/2023,,Row 2,,,
11,n/a,SAAP,29.2,3/9/2023,,,,,
11,n/a,ERFA,26.6,3/9/2023,,,,,
11,n/a,SAAP,22.3,3/9/2023,,,,,
11,n/a,SAME,56.9,3/9/2023,,,,,
11,n/a,ENCA,81.4,3/9/2023,,,,,
11,22?,SAAP,46,3/9/2023,,,,,
11,n/a,SALE,33.2,3/9/2023,,,,,
11,n/a,SAME,50.4,3/9/2023,,,,,
11,n/a,ARCA,41.5,3/9/2023,,,,,
11,5?,SALE,48.2,3/9/2023,,,,,
11,n/a,ENCA,91.8,3/9/2023,,,,,
11,10,ERFA,31.1,3/9/2023,,,,,
11,n/a,SALE,35.9,3/9/2023,,,,,
13,52,SALE,15.8,3/9/2023,,Row 1,,,
13,60,SAME,18.8,3/9/2023,,,,,
13,67,ARCA,28.5,3/9/2023,,,,,
13,n/a,SALE,30.4,3/9/2023,,Row 2,,,
13,46,SAAP,18.2,3/9/2023,,,,,
13,42,ARCA,14.7,3/9/2023,x,,,,
13,40,ENCA,53.3,3/9/2023,,,,,
13,n/a,SAME,21.2,3/9/2023,,,,,
13,34,ARCA,44.4,3/9/2023,,,,,
13,35,SAAP,19.7,3/9/2023,,,,,
13,n/a,SALE,43.4,3/9/2023,,,,,
13,12,SALE,56.4,3/9/2023,,Row 3,,,
13,22,ENCA,74,3/9/2023,,,,,
13,23,CECU,42.3,3/9/2023,,,,,
13,27,ARCA,31.8,3/9/2023,,,,,
13,33?,ENCA,25.2,3/9/2023,,,,,
13,n/a,CECU,34.2,3/9/2023,,,,,
13,n/a,ARCA,55.9,3/9/2023,,,,,
13,18,ENCA,45,3/9/2023,,Row 4,,,
13,16,ARCA,60.5,3/9/2023,,,,,
13,n/a,SAME,29.2,3/9/2023,,,,,
13,14,SAAP,13.8,3/9/2023,,,,,
13,12,ARCA,38.4,3/9/2023,,,,,
13,n/a,SALE,32.3,3/9/2023,,,,,
13,n/a,SAAP,18.8,3/9/2023,,,,,
2401,n/a,ARCA,41.4,3/9/2023,,Row 1,,,
2401,2,SAAP,13.3,3/9/2023,,,,,
2401,n/a,SAAP,28.4,3/9/2023,,Row 2,,,
2401,5,ARCA,34.6,3/9/2023,,,,,
2401,16,ERFA,14.8,3/9/2023,,Row 3,,,
2401,37,ENCA,41.7,3/9/2023,,Row 4,,,
2401,n/a,SAAP,20.7,3/9/2023,,,,,
2401,n/a,SAME,43.4,3/9/2023,,,,,
2401,n/a,ARCA,39.2,3/9/2023,,,,,
2401,61,SAAP,13.3,3/9/2023,,Row 5,,,
2401,54,SAAP,20.1,3/9/2023,,,,,
2401,60,SALE,38.6,3/9/2023,,Row 6,,,
2401,50,ERFA,27.2,3/9/2023,,,,,
2401,n/a,SALE,42.8,3/9/2023,,Row 7,,,
2462,n/a,SALE,17.2,3/9/2023,,Row 1,,,
2462,n/a,ARCA,27.4,3/9/2023,,Row 2,,,
